latDMS,lonDMS,siteNum,siteName,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
533428.1,0062358.9,2387Z,Huibertgat,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2388Z,Harlingen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
531937.5,0065603.8,2389Z,Delfzijl,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
515842.1,0040716.2,2390Z,Hoek_van_Holland,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
520559.4,0041553.5,2391Z,Scheveningen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2392Z,IJmuiden,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
524624.3,0043903.6,2393Z,Petten,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
530716.9,0044404.2,2394Z,Texel_Noordzee,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
513120.2,0032628.8,2395Z,Westkapelle,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
512635.3,0033550.5,2396Z,Vlissingen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
521626.0,0041746.0,2397Z,Noordwijk_meetpost,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
525754.4,0044446.6,2398Z,Den_Helder,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
532635.6,0052003.6,2399Z,Terschelling_Noordzee,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
533059.6,0055734.4,2400Z,Wierumergronden,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
533428.1,0062358.9,2401Z,Huibertgat,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2402Z,Harlingen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
531937.5,0065603.8,2403Z,Delfzijl,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
515842.1,0040716.2,2404Z,Hoek_van_Holland,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
520559.4,0041553.5,2405Z,Scheveningen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2406Z,IJmuiden,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
524624.3,0043903.6,2407Z,Petten,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
530716.9,0044404.2,2408Z,Texel_Noordzee,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
513008.2,0031045.9,2409Z,Vlakte_van_de_Raan,1991/01/01,00:00:00,1991/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
513120.2,0032628.8,2410Z,Westkapelle,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
512635.3,0033550.5,2411Z,Vlissingen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
521626.0,0041746.0,2412Z,Noordwijk_meetpost,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
525754.4,0044446.6,2413Z,Den_Helder,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
532635.6,0052003.6,2414Z,Terschelling_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
533059.6,0055734.4,2415Z,Wierumergronden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
533428.1,0062358.9,2416Z,Huibertgat,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2417Z,Harlingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
531937.5,0065603.8,2418Z,Delfzijl,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
515842.1,0040716.2,2419Z,Hoek_van_Holland,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
520559.4,0041553.5,2420Z,Scheveningen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2421Z,IJmuiden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
524624.3,0043903.6,2422Z,Petten,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
530716.9,0044404.2,2423Z,Texel_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
513008.2,0031045.9,2424Z,Vlakte_van_de_Raan,1992/12/15,00:10:00,1992/12/31,23:50:00,00016,23.66,10,NaN,MET,NAP
513120.2,0032628.8,2425Z,Westkapelle,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
512635.3,0033550.5,2426Z,Vlissingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
521626.0,0041746.0,2427Z,Noordwijk_meetpost,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
525754.4,0044446.6,2428Z,Den_Helder,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
525754.4,0044446.6,2429Z,Den_Helder,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
532635.6,0052003.6,2430Z,Terschelling_Noordzee,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
532635.6,0052003.6,2431Z,Terschelling_Noordzee,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
533059.6,0055734.4,2432Z,Wierumergronden,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
533059.6,0055734.4,2433Z,Wierumergronden,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
533428.1,0062358.9,2434Z,Huibertgat,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
533428.1,0062358.9,2435Z,Huibertgat,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2436Z,Harlingen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
531035.0,0052438.3,2437Z,Harlingen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
531937.5,0065603.8,2438Z,Delfzijl,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
531937.5,0065603.8,2439Z,Delfzijl,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
515842.1,0040716.2,2440Z,Hoek_van_Holland,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
520559.4,0041553.5,2441Z,Scheveningen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2442Z,IJmuiden,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
524624.3,0043903.6,2443Z,Petten,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
515842.1,0040716.2,2444Z,Hoek_van_Holland,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
520559.4,0041553.5,2445Z,Scheveningen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2446Z,IJmuiden,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
524624.3,0043903.6,2447Z,Petten,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
530716.9,0044404.2,2448Z,Texel_Noordzee,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
530716.9,0044404.2,2449Z,Texel_Noordzee,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
513008.2,0031045.9,2450Z,Vlakte_van_de_Raan,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
513120.2,0032628.8,2451Z,Westkapelle,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
512635.3,0033550.5,2452Z,Vlissingen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
513120.2,0032628.8,2453Z,Westkapelle,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
512635.3,0033550.5,2454Z,Vlissingen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
521626.0,0041746.0,2455Z,Noordwijk_meetpost,1993/01/01,00:00:00,1993/09/30,23:50:00,00272,23.83,10,NaN,MET,NAP
521626.0,0041746.0,2456Z,Noordwijk_meetpost,1993/10/01,00:00:00,1993/12/31,23:50:00,00091,23.83,10,NaN,MET,NAP
515533.0,0034011.0,2457Z,Lichteiland_Goeree,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,MSL
515955.0,0031635.0,2458Z,Euro_platform,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,MSL
531304.0,0031313.0,2459Z,K13a_platform,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,MSL
515533.0,0034011.0,2460Z,Lichteiland_Goeree,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,MSL
515955.0,0031635.0,2461Z,Euro_platform,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,MSL
531304.0,0031313.0,2462Z,K13a_platform,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,MSL
515533.0,0034011.0,2463Z,Lichteiland_Goeree,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2464Z,Euro_platform,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2465Z,Lichteiland_Goeree,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2466Z,Euro_platform,1987/03/15,00:00:00,1987/12/31,23:50:00,00291,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2467Z,K13a_platform,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2468Z,Euro_platform,1987/01/01,00:00:00,1987/03/14,23:50:00,00072,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2469Z,Lichteiland_Goeree,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2470Z,Euro_platform,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2471Z,K13a_platform,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2472Z,Lichteiland_Goeree,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2473Z,Euro_platform,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2474Z,K13a_platform,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2475Z,Lichteiland_Goeree,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2476Z,Euro_platform,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2477Z,K13a_platform,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2478Z,Lichteiland_Goeree,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2479Z,Euro_platform,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2480Z,K13a_platform,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2481Z,Lichteiland_Goeree,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2482Z,Euro_platform,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2483Z,K13a_platform,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
515533.0,0034011.0,2484Z,Lichteiland_Goeree,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
515955.0,0031635.0,2485Z,Euro_platform,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
531304.0,0031313.0,2486Z,K13a_platform,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
