lonDD,latDD,siteNum,siteName,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
6.3996944,53.5744722,2387Z,Huibertgat,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2388Z,Harlingen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2389Z,Delfzijl,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2390Z,Hoek_van_Holland,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2391Z,Scheveningen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2392Z,IJmuiden,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2393Z,Petten,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2394Z,Texel_Noordzee,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.4413333,51.5222778,2395Z,Westkapelle,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2396Z,Vlissingen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2397Z,Noordwijk_meetpost,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2398Z,Den_Helder,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2399Z,Terschelling_Noordzee,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2400Z,Wierumergronden,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2401Z,Huibertgat,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2402Z,Harlingen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2403Z,Delfzijl,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2404Z,Hoek_van_Holland,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2405Z,Scheveningen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2406Z,IJmuiden,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2407Z,Petten,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2408Z,Texel_Noordzee,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2409Z,Vlakte_van_de_Raan,1991/01/01,00:00:00,1991/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2410Z,Westkapelle,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2411Z,Vlissingen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2412Z,Noordwijk_meetpost,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2413Z,Den_Helder,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2414Z,Terschelling_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2415Z,Wierumergronden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2416Z,Huibertgat,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2417Z,Harlingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2418Z,Delfzijl,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2419Z,Hoek_van_Holland,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2420Z,Scheveningen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2421Z,IJmuiden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2422Z,Petten,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2423Z,Texel_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2424Z,Vlakte_van_de_Raan,1992/12/15,00:10:00,1992/12/31,23:50:00,00016,23.66,10,NaN,MET,NAP
3.4413333,51.5222778,2425Z,Westkapelle,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2426Z,Vlissingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2427Z,Noordwijk_meetpost,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2428Z,Den_Helder,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2429Z,Den_Helder,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2430Z,Terschelling_Noordzee,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2431Z,Terschelling_Noordzee,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2432Z,Wierumergronden,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2433Z,Wierumergronden,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2434Z,Huibertgat,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2435Z,Huibertgat,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2436Z,Harlingen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2437Z,Harlingen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2438Z,Delfzijl,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2439Z,Delfzijl,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2440Z,Hoek_van_Holland,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2441Z,Scheveningen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2442Z,IJmuiden,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2443Z,Petten,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2444Z,Hoek_van_Holland,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2445Z,Scheveningen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2446Z,IJmuiden,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2447Z,Petten,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2448Z,Texel_Noordzee,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2449Z,Texel_Noordzee,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2450Z,Vlakte_van_de_Raan,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.4413333,51.5222778,2451Z,Westkapelle,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2452Z,Vlissingen,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
3.4413333,51.5222778,2453Z,Westkapelle,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2454Z,Vlissingen,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2455Z,Noordwijk_meetpost,1993/01/01,00:00:00,1993/09/30,23:50:00,00272,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2456Z,Noordwijk_meetpost,1993/10/01,00:00:00,1993/12/31,23:50:00,00091,23.83,10,NaN,MET,NAP
3.6697222,51.9258333,2457Z,Lichteiland_Goeree,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,MSL
3.2763889,51.9986111,2458Z,Euro_platform,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,MSL
3.2202778,53.2177778,2459Z,K13a_platform,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,MSL
3.6697222,51.9258333,2460Z,Lichteiland_Goeree,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,MSL
3.2763889,51.9986111,2461Z,Euro_platform,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,MSL
3.2202778,53.2177778,2462Z,K13a_platform,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,MSL
3.6697222,51.9258333,2463Z,Lichteiland_Goeree,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2464Z,Euro_platform,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2465Z,Lichteiland_Goeree,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2466Z,Euro_platform,1987/03/15,00:00:00,1987/12/31,23:50:00,00291,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2467Z,K13a_platform,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2468Z,Euro_platform,1987/01/01,00:00:00,1987/03/14,23:50:00,00072,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2469Z,Lichteiland_Goeree,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2470Z,Euro_platform,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2471Z,K13a_platform,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2472Z,Lichteiland_Goeree,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2473Z,Euro_platform,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2474Z,K13a_platform,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2475Z,Lichteiland_Goeree,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2476Z,Euro_platform,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2477Z,K13a_platform,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2478Z,Lichteiland_Goeree,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2479Z,Euro_platform,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2480Z,K13a_platform,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2481Z,Lichteiland_Goeree,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2482Z,Euro_platform,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2483Z,K13a_platform,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,MSL
3.6697222,51.9258333,2484Z,Lichteiland_Goeree,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2763889,51.9986111,2485Z,Euro_platform,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
3.2202778,53.2177778,2486Z,K13a_platform,1993/01/01,00:00:00,1993/12/31,23:50:00,00364,23.83,10,NaN,MET,MSL
