-4.21495,50.25015,'L4'
-4.36515,50.03516,'E1'
-7.05683,56.062,'Blackstones_WaveNet_Site'
1.10033,53.057,'Blakeney_Overfalls_Waverider'
0.446,53.2452,'Chapel_Point_Waverider'
1.0535,53.531,'Dowsing_WaveNet_Site'
1.39383,51.9382,'Felixstowe_Waverider'
-2.50383,56.188,'Firth_of_Forth_WaveNet_Site'
1.5495,52.8263,'Happisburgh_Waverider'
0.754167,50.7468,'Hastings_WaveNet_Site'
-3.15883,51.2333,'Hinkley_Point_Waverider'
-3.353,53.5183,'Liverpool_Bay_WaveNet_Site'
-3.31833,57.9665,'Moray_Firth_WaveNet_Site'
0.4755,53.0582,'North_Well_Waverider'
-1.71883,50.6335,'Poole_Bay_WaveNet_Site'
-3.91833,51.4183,'Scarweather_WaveNet_Site'
1.68433,52.208,'Sizewell_Waverider'
1.57917,51.57,'South_Knock_WaveNet_Site'
1.783,52.3118,'Southwold_Approach_WaveNet_Site'
-0.749333,54.919,'TyneTees_WaveNet_Site'
2.08017,51.9803,'West_Gabbard_WaveNet_Site'
-7.91533,57.2923,'West_of_Hebrides_WaveNet_Site'
-2.7151,51.5108,'Avonmouth'
-5.6695,54.6648,'Bangor'
-4.045,52.7193,'Barmouth'
-1.8749,50.7143,'Bournemouth'
1.3016,52.9343,'Cromer'
-4.1853,50.3684,'Devonport'
1.3225,51.1144,'Dover'
1.3485,51.9566,'Felixstowe'
-4.9832,52.0137,'Fishguard'
1.2921,51.948,'Harwich'
-2.9203,54.0318,'Heysham'
-3.1345,51.2153,'HinkleyPoint'
-4.6206,53.3139,'Holyhead'
-4.1111,51.2109,'Ilfracombe'
-0.1868,53.631,'Immingham'
-4.7681,54.0852,'PortErin'
-6.1899,55.6276,'PortEllen'
-2.1167,49.1833,'St.Helier'
-5.0504,58.4567,'Kinlochbervie'
-3.1817,55.9898,'Leith'
-1.1403,60.154,'Lerwick'
-3.0181,53.4497,'Liverpool-GladstoneDock'
-3.8252,53.3317,'Llandudno'
1.7499,52.4729,'Lowestoft'
-5.0514,51.7064,'MilfordHaven'
-4.9058,55.7496,'Millport'
-4.0023,57.5992,'MorayFirth'
-3.9749,51.5703,'Mumbles'
-5.5428,50.103,'Newlyn'
0.057,50.7818,'Newhaven'
-2.9874,51.55,'Newport'
-1.4398,55.0074,'NorthShields'
-5.12,54.8426,'Portpatrick'
-6.6568,55.2068,'Portrush'
-1.1118,50.8026,'Portsmouth'
0.7434,51.4456,'Sheerness'
-6.3165,49.9185,'St.Mary's'
-6.3889,58.207,'Stornoway'
-6.064,56.6229,'Tobermory'
-5.1581,57.8953,'Ullapool'
-2.4479,50.6085,'Weymouth'
-0.6199,54.4894,'Whitby'
-3.0865,58.441,'Wick'
-3.5678,54.6508,'Workington'
-5.36667,53.4417,'33693'
-6.94333,51.0483,'33700'
-7.2,47.75,'33712'
-3.21667,53.5,'33724'
1.24167,54.325,'33736'
3.24167,52.4517,'33748'
2.21667,52.4667,'33761'
-0.05,59.2967,'33773'
-0.00833333,59.7817,'33785'
-10.9717,49.0267,'33797'
-10.9167,50.82,'33804'
-2.43833,58.6167,'33816'
-1.25,58.9333,'33828'
0.251667,59.32,'33841'
2.77833,59.325,'33853'
-3.71667,53.7667,'33865'
-4.135,53.77,'33877'
-3.07,54.1533,'33889'
-3.91,54.6483,'33890'
-5.78333,52.0683,'33908'
-3.19833,53.5133,'33921'
-3.56333,50.2517,'33933'
-4.11667,53.7633,'33945'
-6.6,51.75,'33957'
-6.5,51.3333,'33969'
-6.16667,50.5833,'33970'
-7.53333,50.55,'33982'
-5.61667,56.5,'33994'
-5.74167,55.86,'34008'
-5.595,54.9617,'34021'
-6.16333,55.4633,'34033'
-9.99167,55.0033,'34045'
-10.7167,55.2433,'34057'
7.16667,55.0833,'34069'
7.83333,55.0,'34070'
-5.01,51.41,'34082'
-4.99833,50.9183,'34094'
-10.0667,57.2333,'34101'
-3.10333,51.3383,'34113'
-3.16167,51.4067,'34125'
-8.51667,51.355,'34137'
-7.61167,50.5283,'34149'
81.8467,7.41333,'34150'
81.5667,7.91667,'34162'
2.1,53.24,'34174'
0.84,54.01,'34186'
0.25,54.8,'34198'
0.76,55.5833,'34205'
-0.545,55.3267,'34217'
-1.2,56.2667,'34229'
-8.52833,49.66,'34230'
-9.81667,50.5167,'34242'
-7.02333,48.795,'34254'
-9.79667,51.14,'34266'
-28.91,34.2133,'34278'
-35.185,43.105,'34291'
-46.5667,46.0633,'34309'
-21.86,43.025,'34310'
-5.31167,56.5667,'34322'
-5.295,56.5667,'34334'
-46.5667,46.0633,'36734'
-46.5667,46.0633,'36746'
-46.5667,46.0633,'36758'
-35.185,43.1067,'36771'
-46.445,45.985,'36783'
-40.5,44.49,'36795'
-15.4117,45.0217,'36802'
-15.4117,45.0217,'36814'
-34.8817,33.9983,'36851'
-41.1917,33.9217,'36863'
-43.9583,26.5767,'36875'
-43.9583,26.5767,'36887'
-48.84,14.7067,'36899'
-48.84,14.7067,'36906'
-50.5183,9.985,'36918'
-51.555,6.99333,'36931'
-51.555,6.99333,'36943'
-30.6,-26.3,'36955'
-30.6,-26.3,'36967'
-15.5767,44.9417,'36979'
-15.5767,44.9417,'36980'
-47.51,19.0067,'36992'
-47.51,19.0067,'37006'
-8.3,-18.0417,'37018'
-8.3,-18.0417,'37031'
-8.58667,56.9183,'37725'
-8.58333,58.0333,'37737'
-7.5,58.7833,'37749'
-7.5,58.7833,'37750'
-6.35667,59.4917,'37762'
-4.64833,59.7633,'37774'
-2.96167,59.9983,'37786'
-8.585,56.0067,'37798'
-7.24667,47.6683,'40862'
-7.24667,47.6683,'40874'
-8.335,48.165,'40886'
-8.335,48.165,'40898'
-9.68167,48.6133,'40905'
-9.68167,48.6133,'40917'
-10.9717,49.0267,'40929'
-10.8983,49.9,'40942'
-10.8983,49.9,'40954'
-10.9167,50.82,'40966'
-10.9167,50.82,'40978'
-10.9167,50.82,'40991'
-10.9167,50.82,'41005'
-11.3033,53.6083,'41029'
-11.3033,53.6083,'41030'
-13.8183,53.6,'41042'
-13.8183,53.6,'41054'
-8.43333,47.4433,'41066'
-8.43333,47.4433,'41078'
-20.0717,37.155,'41091'
-20.0717,37.155,'41109'
-9.7,36.9217,'41110'
-9.7,36.9217,'41122'
-20.0233,53.6367,'41134'
-20.0233,53.6367,'41146'
-25.0933,53.51,'41158'
-30.165,53.6467,'41171'
4.51667,59.3333,'41183'
-27.945,41.4167,'41195'
-27.945,41.4167,'41202'
-28.7667,60.205,'41214'
-28.7667,60.205,'41226'
-29.9667,57.0217,'41238'
-29.9667,57.0217,'41251'
-30.165,53.6467,'41263'
4.51667,59.3333,'41275'
-10.8183,55.6717,'41287'
-10.8183,55.6717,'41299'
-10.8183,55.6717,'41306'
-11.2083,36.68,'41318'
-14.245,36.6767,'41331'
-28.1883,48.7467,'41343'
-28.1883,48.7467,'41355'
-28.1533,45.3567,'41367'
-28.1533,45.3567,'41379'
-0.00833333,59.7817,'41380'
-24.7183,62.8367,'41392'
-24.7183,62.8367,'41411'
-10.955,62.9517,'41423'
-10.955,62.9517,'41435'
-17.2267,10.0917,'41447'
-17.2267,10.0917,'41459'
-20.9683,6.065,'41460'
-20.9683,6.065,'41472'
-20.9683,6.065,'41484'
-25.0583,3.13167,'41496'
-25.0583,3.13167,'41503'
-25.0583,3.13167,'41515'
-25.0583,3.13167,'41527'
-29.2767,0.938333,'41539'
-29.2767,0.938333,'41540'
-39.6,-17.07,'41552'
-39.6,-17.07,'41564'
-39.6,-17.07,'41576'
-39.6,-17.07,'41588'
-8.80833,57.9117,'47209'
-9.15,58.0133,'47210'
-9.875,57.3167,'47222'
-9.875,57.3167,'47234'
-9.95833,58.1917,'47246'
-9.95833,58.1917,'47258'
-7.39833,58.9867,'47271'
-7.68833,59.195,'47283'
-7.68833,59.195,'47295'
-6.00833,59.645,'47302'
-6.00833,59.645,'47314'
-4.98,60.5283,'47326'
-4.98,60.5283,'47338'
-1.55167,61.1317,'47351'
-2.09333,61.4033,'47363'
-2.09333,61.4033,'47375'
0.0216667,61.5,'47387'
-0.00666667,63.1317,'47399'
-0.00666667,63.1317,'47406'
3.5973611,51.4431389,'Vlissingen'
3.1794167,51.5022778,'Vlakte_van_de_Raan'
3.4413333,51.5222778,'Westkapelle'
3.6697222,51.9258333,'Lichteiland_Goeree'
4.1211667,51.9783611,'Hoek_van_Holland'
3.2763889,51.9986111,'Euro_platform'
4.2648611,52.0998333,'Scheveningen'
4.2961111,52.2738889,'Noordwijk_meetpost'
4.4266667,52.4019444,'MP_151'
4.4152778,52.4058333,'MP_161'
4.5561111,52.4631111,'IJmuiden'
4.651,52.7734167,'Petten'
4.7462778,52.9651111,'Den_Helder'
4.7345,53.1213611,'Texel_Noordzee'
5.4106389,53.1763889,'Harlingen'
3.2202778,53.2177778,'K13a_platform'
6.9343889,53.3270833,'Delfzijl'
5.3343333,53.4432222,'Terschelling_Noordzee'
5.9595556,53.5165556,'Wierumergronden'
6.3996944,53.5744722,'Huibertgat'
4.0,54.6666667,'DDH_3'
3.3333333,54.8333333,'DDH_2'
4.0,54.8333333,'DDH_4'
4.45,54.8666667,'DDH_6'
4.0166667,55.0,'DDH_5'
3.1666667,55.3333333,'DDH_1'
4.6666667,55.3333333,'DDH_7'
3.0666667,55.6333333,'DDH'
-4.5,48.38,'BREST'
8.76284981,41.92279816,'AJACCIO_ASPRETTO'
-1.16355002,44.66500092,'ARCACHON_EYRAC'
-1.515657,43.527392,'BAYONNE_BOUCAU'
-0.5528,44.86,'BORDEAUX'
1.57746005,50.72750092,'BOULOGNE_SUR_MER'
-4.49503994,48.38290024,'BREST'
1.86772001,50.9693985,'CALAIS'
9.349833,42.965775,'CENTURI'
-1.635508,49.651447,'CHERBOURG'
-3.907207,47.873549,'CONCARNEAU'
1.08449,49.92917,'DIEPPE'
2.366698,51.048091,'DUNKERQUE'
45.2585,-12.782044,'DZAOUDZI'
-61.063609,14.601867,'FORT_DE_FRANCE'
4.892935,43.404935,'FOS_SUR_MER'
-1.174341,46.007357,'ILE_D_AIX'
8.93524,42.6396,'ILE_ROUSSE'
-52.5865,5.284333,'ILE_ROYALE'
6.93494,43.4835,'LA_FIGUEIRETTE'
-1.22064995766,46.1585006714,'LA_ROCHELLE_LA_PALLICE'
-4.78075,48.359098,'LE_CONQUET'
-2.895167,47.542676,'LE_CROUESTY'
0.106066,49.482015,'LE_HAVRE'
-1.793528,46.497358,'LES_SABLES_D_OLONNE'
5.353758,43.278814,'MARSEILLE'
7.421497,43.728847,'MONACO_FONTVIEILLE'
7.285257,43.695508,'NICE'
166.416218,-22.241966,'NUMBO_NOUMEA'
-61.531454,16.224397,'POINTE_A_PITRE'
55.285005,-20.934924,'POINTE_DES_GALETS'
-1.061555,45.56848,'PORT_BLOC'
-3.445852,47.644274,'PORT_TUDY'
3.10745,42.519922,'PORT_VENDRES'
-0.953483,45.946335,'ROCHEFORT'
-3.965735,48.718381,'ROSCOFF'
-1.027811,45.620576,'ROYAN'
-1.681623,43.395239,'SAINT_JEAN_DE_LUZ_SOCOA'
-2.028103,48.640812,'SAINT_MALO'
-2.20155,47.266862,'SAINT_NAZAIRE'
-56.16830556,46.77883333,'SAINT_PIERRE_ET_MIQUELON'
3.699105,43.397633,'SETE'
5.914445,43.122957,'TOULON'
-4.2766,51.05822,'Bdf'
-0.83749,50.72266,'BkB'
-1.83922,50.71131,'Bos'
-3.19621,53.89529,'Clv'
-2.52284,50.60293,'Csl'
-3.41713,50.57954,'Dwl'
1.12902,51.06255,'Flk'
1.48303,51.24994,'GdS'
-0.95884,50.73236,'HgI'
-0.06678,53.91685,'Hrn'
-4.41174,50.339,'LoB'
-3.06611,53.98862,'McB'
-3.47207,51.22825,'Mhd'
-1.61514,50.71234,'Mlf'
-1.4783,55.18483,'Nbg'
-3.03444,53.44285,'NBr'
0.41669,50.78301,'PBy'
-5.3074,50.06244,'Plv'
-5.5034,50.11416,'Pnz'
-5.17497,50.35312,'Prp'
-3.60098,53.38177,'RhF'
-0.49475,50.73409,'Rst'
0.79035,50.85164,'Rye'
-1.12985,50.65066,'SBy'
-0.31817,54.29337,'Sca'
0.07508,50.76636,'Sfd'
-6.31218,49.89196,'SMS'
-3.61622,50.29202,'StB'
-3.51822,50.43358,'Tor'
-2.74987,50.69334,'WBy'
-2.41343,50.62295,'Wey'
-3.018,51.35364,'Wst'
-0.60749,54.50522,'Wtb'
